steam_id,user_name,team_clan_name,kills,headshots,wallbang_kills,assisted_flashes,no_scope,through_smoke,blind_kills,victim_blind_kills,assists,deaths,kd,total_rounds_won,t_rounds_won,ct_rounds_won,first_kills,CT_first_kills,T_first_kills,first_deaths,CT_first_deaths,T_first_deaths,flahes_thrown,CT_flahes_thrown,T_flahes_thrown,flahes_thrown_in_pistol_round,he_thrown,CT_he_thrown,T_he_thrown,he_thrown_in_pistol_round,infernos_thrown,CT_infernos_thrown,T_infernos_thrown,infernos_thrown_in_pistol_round,smokes_thrown,CT_smokes_thrown,T_smokes_thrown,smokes_thrown_in_pistol_round,util_in_pistol_round,total_util_thrown
76561198118646644,Skullz,FURIA,68,37,2,5,0,10,1,5,24,68,"1,000000000000",42,16,26,14,8,6,7,3,4,56,23,33,3,37,16,21,0,51,26,25,0,79,43,36,2,5,223
76561198120557348,jabbi,Astralis,88,45,3,6,0,10,1,6,39,110,"0,800000000000",57,24,33,15,6,9,13,2,11,73,33,40,4,67,33,34,0,72,34,38,0,95,55,40,1,5,307
76561198138828475,Brollan,MOUZ,50,27,3,4,0,10,3,4,25,68,"0,735294117647",34,20,14,12,7,5,19,7,12,61,21,40,6,22,18,4,1,38,17,21,2,80,33,47,7,16,201
76561198139604328,hyped,BIG,69,19,2,2,0,4,0,2,12,77,"0,896103896104",47,22,25,10,8,2,14,9,5,75,27,48,0,19,17,2,1,39,16,23,0,58,34,24,0,1,191
76561198144926364,kyuubii,BIG,63,30,1,6,0,9,1,6,23,81,"0,777777777778",47,22,25,5,3,2,10,6,4,42,23,19,3,36,24,12,0,64,38,26,1,61,32,29,3,7,203
76561198164970560,yuurih,FURIA,59,36,3,4,0,6,2,4,20,71,"0,830985915493",42,16,26,8,5,3,9,5,4,90,35,55,3,39,21,18,1,58,27,31,0,61,35,26,1,5,248
"7,65612E+16",Ex3rcice,3DMAX,114,63,5,7,0,11,4,7,33,119,"0,957983193277",87,38,49,16,8,8,10,5,5,100,19,81,0,58,37,21,0,97,40,57,0,111,52,59,4,4,366
76561198170631091,Krimbo,BIG,68,40,2,2,0,5,1,2,25,68,"1,000000000000",47,22,25,10,6,4,9,6,3,76,35,41,3,39,23,16,0,47,21,26,0,81,38,43,3,6,243
76561198176878303,jL,Natus Vincere,144,97,6,6,0,16,0,6,46,120,"1,200000000000",114,54,60,20,9,11,14,1,13,95,52,43,4,102,55,47,1,118,62,56,0,139,63,76,4,9,454
76561198179538505,Graviti,3DMAX,120,76,1,5,0,6,0,5,31,118,"1,016949152542",87,38,49,14,5,9,23,9,14,120,41,79,5,61,34,27,1,91,43,48,1,115,60,55,4,11,387
76561198193174134,xertioN,MOUZ,52,23,2,3,0,6,0,3,21,70,"0,742857142857",34,20,14,9,4,5,16,10,6,31,14,17,0,41,24,17,0,63,30,33,0,45,22,23,1,1,180
76561198201620490,broky,FaZe Clan,197,67,9,1,4,9,4,1,59,186,"1,059139784946",132,67,65,19,14,5,14,8,6,245,75,170,6,69,51,18,0,124,54,70,0,214,79,135,4,10,652
76561198246607476,b1t,Natus Vincere,164,107,11,8,0,11,0,8,52,124,"1,322580645161",114,54,60,28,16,12,17,12,5,155,61,94,2,53,36,17,0,106,48,58,1,131,69,62,6,9,445
76561198283989223,ultimate,Team Liquid,83,27,5,1,0,3,0,1,28,98,"0,846938775510",76,37,39,6,5,1,14,11,3,83,23,60,4,17,17,0,0,58,20,38,0,89,27,62,4,8,247
76561198310561479,PR,GamerLegion,156,82,6,8,0,10,0,8,27,133,"1,172932330827",90,44,46,25,7,18,18,9,9,67,29,38,2,77,42,35,1,89,39,50,0,108,61,47,1,4,341
76561198316706174,Tauson,GamerLegion,118,59,3,6,0,10,0,6,46,143,"0,825174825175",90,44,46,23,13,10,23,8,15,82,44,38,0,58,43,15,0,93,42,51,1,111,57,54,1,2,344
76561198355739212,torzsi,MOUZ,63,22,2,2,0,5,2,2,21,58,"1,086206896552",34,20,14,6,4,2,6,3,3,58,10,48,1,15,12,3,0,32,16,16,0,50,26,24,0,1,155
76561198386265483,donk,Team Spirit,345,225,11,22,0,31,3,22,69,257,"1,342412451362",201,109,92,64,29,35,39,14,25,169,82,87,0,144,110,34,1,188,100,88,0,158,94,64,1,2,659
76561198410750263,jottAAA,Eternal Fire,206,115,7,9,0,10,0,9,63,198,"1,040404040404",158,79,79,25,14,11,29,16,13,117,61,56,2,106,46,60,1,142,67,75,0,184,92,92,1,4,549
76561198799340122,degster,Team Falcons,74,25,6,2,0,3,5,2,27,74,"1,000000000000",45,20,25,12,8,4,8,4,4,51,25,26,0,10,6,4,0,28,8,20,0,48,21,27,1,1,137
76561198812513923,Wicadia,Eternal Fire,205,118,5,9,0,12,1,9,76,217,"0,944700460829",158,79,79,28,17,11,30,11,19,112,43,69,1,158,88,70,1,192,108,84,0,204,121,83,3,5,666
76561198838822582,Mzinho,The MongolZ,163,106,3,8,0,19,2,8,50,184,"0,885869565217",125,57,68,28,14,14,18,9,9,124,58,66,0,95,49,46,1,124,64,60,2,203,86,117,1,4,546
76561198855375325,Jimpphat,MOUZ,46,28,1,5,0,1,1,5,12,61,"0,754098360656",34,20,14,3,1,2,4,1,3,17,9,8,0,33,23,10,0,35,21,14,0,43,21,22,0,0,128
76561198920720017,Senzu,The MongolZ,154,92,5,7,0,22,1,7,48,181,"0,850828729282",125,57,68,25,9,16,24,10,14,86,34,52,0,119,62,57,0,126,53,73,0,113,52,61,0,0,444
76561198959824088,bLitz,The MongolZ,175,93,9,4,0,20,1,4,70,163,"1,073619631902",125,57,68,25,13,12,35,24,11,172,58,114,15,124,75,49,1,138,64,74,3,154,49,105,10,29,588
76561198966340160,Techno4K,The MongolZ,165,96,5,3,0,10,0,3,41,180,"0,916666666667",125,57,68,23,10,13,34,13,21,99,36,63,0,95,49,46,0,135,73,62,0,136,69,67,2,2,465
76561198995880877,zont1x,Team Spirit,244,90,6,10,0,16,3,10,77,221,"1,104072398190",201,109,92,30,21,9,33,15,18,149,56,93,4,152,83,69,1,192,99,93,1,229,134,95,2,8,722
76561198998266210,xelex,MOUZ,46,34,2,2,0,3,1,2,15,60,"0,766666666667",34,20,14,5,5,0,6,2,4,25,16,9,1,22,19,3,0,49,25,24,0,36,18,18,0,1,132
76561199009468655,ztr,GamerLegion,91,40,5,4,0,6,0,4,48,131,"0,694656488550",90,44,46,7,5,2,14,6,8,127,30,97,9,57,40,17,2,100,48,52,3,180,66,114,8,22,464
76561199063068840,w0nderful,Natus Vincere,138,58,6,6,1,5,3,6,43,115,"1,200000000000",114,54,60,14,11,3,13,6,7,144,38,106,10,46,40,6,1,91,40,51,2,137,50,87,2,15,418
76561199063238565,magixx,Team Spirit,223,124,2,9,0,12,1,9,84,212,"1,051886792453",201,109,92,31,22,9,33,17,16,202,62,140,5,186,129,57,3,209,116,93,3,276,156,120,9,20,873
76561199203563345,910-,The MongolZ,191,46,1,9,1,14,1,9,42,161,"1,186335403727",125,57,68,23,14,9,14,6,8,153,38,115,5,59,43,16,1,105,46,59,0,139,52,87,2,8,456
